ID;BAIRRO;TIPO;RUA;NUMERO;PRECO;R$/m2;DESC;CEP;latitude;longitude
2664220103;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Travessa Dona Marciana;;10000000,00;925,93;Privilegio Imoveis Vende: Maravilhoso Terreno de 10,800 m2 com dois barracoes, uma casa no alto com area plana para lazer fronteira total aproximado de 12,240M2;22280120;-22,957169;-43,182483
2663913296;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;;700000,00;1776,65;Privilegio Imoveis Vende: Excelente Oportunidade de Terreno a venda em Botafogo em area verde com vista sublime do Cristo Redentor a Baia de Guanabara, Ideal para quem desejar construir sua residencia em meio a uma bela area verde, silenciosa e de vista panoramica ao bairro de Botafogo,  otima Localizacao entre os bairros de Laranjeiras pelas ruas Oswaldo Seabra, rua Cardoso Junior e Botafogo pela rua Assuncao e rua Marques de Olinda, Documentacao compra e venda, O valor do imovel podera sofrer alteracao sem previo aviso, Facilite seu atendimento informando o codigo 55456, Avaliamos seu imovel gratuitamente;22251020;-22,942291;-43,187404
2664239770;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;;710000,00;1806,62;otimo Terreno em Botafogo disponivel para venda na Privilegio Imoveis, tanto para construir obras em declive ou aclive com 2 entradas na mesma rua, pronto para construir,com a metragem de 393m2, Os valores poderao sofrer alteracao sem aviso previo;22251020;-22,942291;-43,187404
2640286607;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;;720000,00;1827,41;Lopes Enjoy Vende, Terreno de 393,50m2 com duas frentes em Botafogo, Terreno Aclive com vista panoramica, Cercado de verde, rua tranquila e silenciosa prioritariamente residencial, Localizacao estrategica de acesso a Laranjeiras, Ligue e agende uma visita!  Atualizado dia quinze de outubro de dois mil e vinte e dois;22251020;-22,942291;-43,187404
2649371112;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;;720000,00;1827,41;Terreno localizado em uma rua residencial tranquila, muito arborizada, pavimentada, multifamiliar podendo ser construida uma edificacao de ate 3 pavimentos, Em uma parte da rua temos uma belissima vista para o Cristo Redentor !   Mais sobre Botafogo - Tem como ponto principal a baia em forma de meia-lua e a praia, ambas com o mesmo nome do bairro e vista para o Pao de Acucar, Fora da orla, os arranha-ceus cedem espaco para ruas arborizadas com cinemas, bistros inovadores e shopping centers, alem de refugios modernos com bares descolados e casas noturnas alternativas, O Museu do indio, situado em uma casa do seculo 19 com jardins, exibe artefatos indigenas, Nas proximidades, e possivel ter uma vista panoramica da cidade no alto do Morro Dona Marta,  Ligue e agende sua visita!  Atencao: Os precos e taxas podem sofrer alteracoes sem aviso previo, As mobilias nao estao incluidas, exceto para imoveis que possuem informacao especifica que sao mobiliados, Considerando a rotatividade dos imoveis e possivel que existam imoveis no site que ja tenham sido vendidos ou alugados;22251020;-22,943061;-43,186258
2655197162;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;;720000,00;1832,06;otimo terreno no Mundo Novo em Botafogo, Para quem nao conhece essa regiao e um Oasis no Rio de Janeiro, com belas casas e vista para o cartao postal da Baia da Guanabara e Pao de Acucar, Proximo ao comercio de Botafogo e tambem Laranjeiras, Regiao maravilhosa para caminhadas ao ar livre,A Nova epoca imoveis tem corretores altamente qualificados, consulte um dos nossos corretores e agende sua visita ou venha nos visitar, Rua Barata Ribeiro, 505, Copacabana, Muito mais que uma imobiliaria, encontre o imovel ideal para voce, com a seguranca do acompanhamento de um especialista durante todo o processo, O preco do imovel esta sujeito a mudanca sem aviso previo, conforme solicitacao do proprietario, Avaliamos seu imovel;22251020;-22,942291;-43,187404
2600636158;Botafogo;COMMERCIAL_PROPERTY;Rua Conde de Iraja;;2500000,00;2083,33;DNA Imoveis vende! Casa comercial ou residencial em Botafogo! Casa de frente duplex 1? piso : 2 quartos,cozinha e area de servico, 2?piso: 2 salas,2 quartos com banheiro e area externa de 70m aproximados,   Casa de fundos (anexo):sala,quarto,cozinha e 2 banheiros,2? andar com entrada privada com sala,quarto,cozinha, banheiro e uma area externa de 30m aproximados,   Excelente oportunidade!! -Cod:NBCC60002 -Rev,27Fev;22271020;-22,954342;-43,195583
2660473477;Botafogo;APARTMENT;Rua Voluntarios da Patria;;3075000,00;2641,75;Apartamento a Venda - Botafogo, 3 Quartos, 1164 m2, Sobre o imovel:   Valores: - Valor de venda: R$ 3075000 - Condominio: R$ 1660 - IPTU: R$ 551  Que tal agendar uma visita? Entre em contato pelo formulario, Voce recebera uma mensagem por e-mail e WhatsApp com os proximos passos,  Seu imovel sem burocracia O QuintoAndar revolucionou o jeito de alugar e comprar imoveis: rapido, facil, online, sem fiador e o melhor, sem burocracia, Conheca esse e outros imoveis no site do QuintoAndar, CRECI-RJ J7575;22270010;-22,953648;-43,190682
2663911618;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;;890000,00;2648,81;Privilegio Imoveis vende: Excelente Lote,Terreno 336m2 no coracao de Botafogo;22251020;-22,942291;-43,187404
2623933277;Botafogo;COMMERCIAL_PROPERTY;Rua Dezenove de Fevereiro;122;850000,00;2833,33;Diluane imoveis vende: Excelente Casa triplex de aproximadamente 300m2 atualmente funciona um restaurante vegano no local, o imovel tem um potencial muito grande seja para moradia ou fins comerciais,   Entre em contato conosco e peca a sua avaliacao atraves do telefone , -Cod:BTCC00019 -Rev,27Fev;22280030;-22,953385;-43,186428
2590415598;Botafogo;HOME;Rua Mundo Novo;83;6000000,00;3000,00;Real UP Imoveis Vende: 3 casas na rua Novo Mundo em Botafogo, O terreno possui 3 casas, 1 galpao, e um quintal enorme com plantacoes de varias frutas, garagens, Excelente oportunidade!   Mais sobre Botafogo - Tem como ponto principal a baia em forma de meia-lua e a praia, ambas com o mesmo nome do bairro e vista para o Pao de Acucar, Fora da orla, os arranha-ceus cedem espaco para ruas arborizadas com cinemas, bistros inovadores e shopping centers, alem de refugios modernos com bares descolados e casas noturnas alternativas, O Museu do indio, situado em uma casa do seculo 19 com jardins, exibe artefatos indigenas, Nas proximidades, e possivel ter uma vista panoramica da cidade no alto do Morro Dona Marta,  Ligue e agende sua visita!  Atencao: Os precos e taxas podem sofrer alteracoes sem aviso previo, As mobilias nao estao incluidas, exceto para imoveis que possuem informacao especifica que sao mobiliados, Considerando a rotatividade dos imoveis e possivel que existam imoveis no site que ja tenham sido vendidos ou alugados;22251020;-22,943061;-43,186258
2654115757;Botafogo;RESIDENTIAL_ALLOTMENT_LAND;Rua Mundo Novo;;6000000,00;3001,50;COD P1127 - Patrimovel vende O terreno esta situado em regiao sossegada e bucolica de Botafogo, A vista para o verde e paisagem da Cidade sao deslumbrantes Apesar do aclive do acesso pela Rua Mundo Novo o terreno e plano possui uma area total de 2,000 m , Situado na Rua Mundo Novo, Sugestoes de ocupacao para variadas finalidades desde construcao de uma unica casa a condminio de edificios ou a livre escolha de acordo com seu interesse, - Informacoes Atualizadas em Vinte e Oito de fevereiro Dois Mil e Vinte e Quatro;22251020;-22,942291;-43,187404
2568786550;Botafogo;HOME;Rua Mundo Novo;;6000000,00;3030,30;Excelente casa localizada em Botafogo composto por 4 quartos disponivel para venda na Privilegio Imoveis, Sao 3 casas separadas com uma area enorme com possibilidade de fazer muitas coisas, piscina parque etc,, casa com salas amplas com varandas, com vista total verde, algumas plantacoes dentro da casa, bairro de botafogo regiao cobicada rua bem tranquila sem barulho, coberturas das casas com vistas totalmente livre, 2 garagens 1 galpao 1 canil a casa tem tudo que uma familia precisa, aproveite essa oportunidade e venha morar na zona sul do rio de janeiro, Os valores poderao sofrer alteracao sem aviso previo;22251020;-22,942291;-43,187404
2608083573;Botafogo;APARTMENT;Rua das Palmeiras;;1249000,00;3568,57;Maravilhosa cobertura triplex com quadra de esporte e piscina,       Primeiro andar, Seis quartos sendo dois revestido para a sala que ficou um salao para 5ambientes, copa cozinha, area de servico, dependencia completa,       segundo andar salao com dois banheiros, salao com mais de 100m2 e quadra de futebol,       Terceiro andar piscina grande e ducha de chuveiro,       2 vagas na escritura,       Localizada em um ponto nobre de botafogo, proximo ao metro, Escolas, Bancos, varios supermercados,  -Cod:NBAP60017 -Rev,27Fev;22270070;-22,953648;-43,190682
2669369500;Botafogo;HOME;Travessa Visconde de Morais;235;1133033,00;3867,01;Leilao Caixa - Botafogo Empresa especializada em leiloes, CRECI J 6460  Comissao paga pela propria Caixa, isso mesmo, a propria Caixa Economica Federal nos remunera para lhe assessorar,  FORMA DE AQUISIcaO SOMENTE a VISTA,  DOCUMENTAcaO COM PAGAMENTO NO CARTaO DE CReDITO*  Imovel localizado: TRAVESSA VISCONDE DE MORAIS,N, 235, BOTAFOGO - CEP: 22260-080, RIO DE JANEIRO  Trata-se de um imovel adjudicado de propriedade da Caixa Economica Federal, Vendido com valor abaixo de avaliacao de mercado, no estado de conservacao que se encontram, Constante no sistema como ocupado, o que impossibilita a visita e por esse motivo, nao possuimos fotos das dependencias,  Mas nao se preocupe com a DESOCUPAcAO  DESOCUPAcaO POR NOSSA CONTA! Isso mesmo, contamos com equipe juridica de excelencia incorporada a empresa, e se o imovel for acima de R$ 100,000,00 (Cem mil reais) e pertencer a regiao metropolitana do Rio a desocupacao fica sob nossa responsabilidade, os honorarios advocaticios pagos por nossa empresa (CLIENTE NaO PAGA NADA)  Quaisquer Debitos Incidentes Sobre O Imovel, A Caixa Quita!  Imovel disponivel na modalidade Venda Online da Caixa, possui RGI e documentacao OK em nome da Caixa,  Temos 12 (doze) solidos anos no mercado e somos lideres de venda a nivel nacional, entao contaras com assessoria de excelencia  Em caso de quaisquer duvidas, favor entrar em conosco,  Venha e faca-nos uma visita, Respeitamos Todos Os Protocolos De Prevencao A Covid, CRECI J 6460  *Fotos meramente ilustrativa;22260080;-22,947661;-43,188885
